,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain.1h,rain.3h,snow.1h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,visibility,weather,wind.deg,wind.gust,wind.speed
214,stations,20,200,-13.71,-76.2,1544594400,3932145,,82,1013.0,,19.0,19.0,19.0,Pisco,,,,PE,8691.0,0.0082,1544610656,1544657192,1.0,5000.0,"[{'id': 711, 'main': 'Smoke', 'description': 'smoke', 'icon': '50n'}]",130.0,,2.1
215,stations,68,200,-35.1,173.78,1544595270,2189343,1011.05,77,1011.05,1025.91,19.95,19.95,19.95,Kaeo,,0.185,,NZ,,0.0539,1544547845,1544599981,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",273.5,,1.51
216,stations,12,200,8.53,34.8,1544595271,339448,901.38,82,901.38,1028.62,20.93,20.93,20.93,Dembi Dolo,,,,ET,,0.0532,1544586327,1544628220,,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",65.0002,,1.71
217,stations,24,200,-30.17,-50.22,1544595271,3466165,1012.43,68,1012.43,1022.38,24.7,24.7,24.7,Cidreira,,,,BR,,0.0125,1544602372,1544653006,,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",6.50018,,4.01
218,stations,40,200,13.22,-59.52,1544594400,3374083,,78,1016.0,,26.0,26.0,26.0,Bathsheba,,,,BB,8772.0,0.0034,1544609468,1544650367,1.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",90.0,,9.8
219,stations,90,200,49.18,-57.43,1544590800,5937252,,79,1013.0,,-4.0,-4.0,-4.0,Deer Lake,,,,CA,781.0,0.0037,1544614536,1544644288,1.0,24140.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",170.0,13.4,2.1
220,stations,20,200,12.57,102.54,1544590800,1611578,,55,1013.0,,33.0,33.0,33.0,Bo Rai,,,,TH,9245.0,0.0063,1544570489,1544611531,1.0,8000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",40.0,,1.5
221,stations,92,200,52.5,-6.56,1544595272,2964403,1010.16,100,1010.16,1027.85,8.95,8.95,8.95,Enniscorthy,,1.24,,IE,,0.0428,1544603278,1544631120,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",150.5,,7.21
222,stations,75,200,36.72,37.12,1544593800,307864,,87,1011.0,,10.0,10.0,10.0,Kilis,,,,TR,6952.0,0.0831,1544589276,1544624152,1.0,8000.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",210.0,,4.6
223,stations,40,200,-20.01,57.66,1544594400,934479,,70,1018.0,,29.0,29.0,29.0,Grand Gaube,,,,MU,2061.0,0.0545,1544577802,1544625775,1.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",70.0,,5.1
224,stations,1,200,49.78,-74.86,1544590800,5919850,,75,1017.0,,-28.0,-28.0,-28.0,Chapais,,,,CA,859.0,0.0033,1544618883,1544648310,1.0,14484.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",350.0,,2.1
225,stations,0,200,-21.53,21.93,1544595273,933815,906.16,41,906.16,1027.0,23.18,23.18,23.18,Dekar,,,,BW,,0.0342,1544586196,1544634537,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",33.0002,,6.01
226,stations,0,200,35.85,71.79,1544595274,1181065,656.82,77,656.82,1040.62,-14.95,-14.95,-14.95,Chitral,,,,PK,,0.0042,1544580810,1544615971,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",45.5002,,0.51
227,stations,88,200,50.46,48.14,1544595274,517739,1023.62,96,1023.62,1029.55,-1.1,-1.1,-1.1,Novouzensk,,,,RU,,0.0114,1544589532,1544618601,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",107.5,,6.06
228,stations,75,200,63.75,-68.52,1544593440,5983720,,84,1005.0,,-19.0,-19.0,-19.0,Iqaluit,,,,CA,797.0,0.0532,1544623934,1544640210,1.0,24140.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",,,1.0
229,stations,0,200,-20.44,-54.87,1544594400,3446619,,78,1015.0,,24.0,24.0,24.0,Terenos,,,,BR,8347.0,0.123,1544604764,1544652844,1.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",30.0,,2.1
230,stations,20,200,53.76,-2.71,1544593800,2639912,,87,1019.0,,4.95,7.0,2.0,Preston,,,,GB,1399.0,0.0399,1544602767,1544629782,1.0,10000.0,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",150.0,,6.7
231,stations,40,200,16.86,-99.88,1544593980,3533462,,94,1015.0,,25.0,25.0,25.0,Acapulco,,,,MX,7103.0,0.0031,1544619556,1544659657,1.0,11265.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",322.0,,1.31
232,stations,0,200,38.48,106.21,1544595275,1786657,897.16,36,897.16,1048.8,-4.4,-4.4,-4.4,Yinchuan,,,,CN,,0.0028,1544572980,1544607273,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",188.5,,1.96
233,stations,40,200,9.96,98.62,1544590800,1150965,,70,1011.0,,30.0,30.0,30.0,Ranong,,,,TH,9269.0,0.0037,1544571154,1544612749,1.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",170.0,,4.1
234,stations,92,200,62.16,-7.17,1544593800,2610343,,93,1011.0,,9.0,9.0,9.0,Vestmanna,,,,FO,1596.0,0.0186,1544607914,1544626773,1.0,,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}]",160.0,,8.2
235,stations,88,200,69.35,88.2,1544595276,1497337,1002.3,86,1002.3,1024.45,-11.2,-11.2,-11.2,Norilsk,,,,RU,,0.0983,0,0,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",154.5,,3.96
236,stations,0,200,10.86,0.2,1544595277,2367164,997.27,42,997.27,1027.49,18.0,18.0,18.0,Dapaong,,,,TG,,0.0236,1544594878,1544636282,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",26.5002,,3.06
237,stations,20,200,-17.57,-149.87,1544594400,4034438,,74,1013.0,,27.0,27.0,27.0,Haapiti,,,,PF,7318.0,0.0027,1544627907,1544675315,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",110.0,,1.5
238,stations,0,200,59.79,5.78,1544593800,3147822,,59,1029.0,,-0.41,2.0,-2.0,Gravdal,,,,NO,1677.0,0.0034,1544603320,1544625150,1.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",100.0,,4.6
239,stations,90,200,64.42,-173.23,1544590800,4031574,,60,990.0,,-13.0,-13.0,-13.0,Provideniya,,,254.0,RU,8875.0,0.0227,1544649742,1544664680,1.0,,"[{'id': 602, 'main': 'Snow', 'description': 'heavy snow', 'icon': '13n'}]",100.0,,1.0
240,stations,76,200,29.28,82.18,1544595278,1283285,681.46,69,681.46,1032.03,-1.85,-1.85,-1.85,Jumla,,,,NP,,0.0035,1544577354,1544614439,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",255.5,,0.36
241,stations,92,200,-7.23,-44.56,1544595085,3385658,993.05,68,993.05,1026.19,24.35,24.35,24.35,Urucui,,,,BR,,0.0536,1544603756,1544648899,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",84.5002,,2.36
242,stations,20,200,9.17,-79.09,1544594400,3712505,,88,1013.0,,24.0,24.0,24.0,Chepo,,,,PA,7216.0,0.0201,1544613737,1544655495,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",310.0,,2.6
243,stations,20,200,26.43,92.03,1544594400,1263787,,61,1016.0,,25.0,25.0,25.0,Mangaldai,,,,IN,9117.0,0.0036,1544574614,1544612450,1.0,4000.0,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",360.0,,3.1
244,stations,24,200,-4.34,152.27,1544595279,2093685,1005.62,100,1005.62,1019.5,28.9,28.9,28.9,Kokopo,,,,PG,,0.0037,1544556803,1544601343,,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",345.5,,2.01
245,stations,88,200,53.78,82.32,1544595279,1490551,1015.83,79,1015.83,1043.09,-11.83,-11.83,-11.83,Suzun,,,,RU,,0.0029,1544582352,1544609369,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",178.5,,3.06
246,stations,75,200,70.95,27.35,1544593800,779261,,74,1019.0,,2.65,3.0,2.0,Kjollefjord,,,,NO,1633.0,0.0047,0,0,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",290.0,15.4,9.3
247,stations,20,200,-17.53,-149.33,1544594400,4033356,,74,1013.0,,27.0,27.0,27.0,Tiarei,,,,PF,7318.0,0.0061,1544627782,1544675181,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",110.0,,1.5
248,stations,90,200,65.28,-126.83,1544590800,6089245,,84,986.0,,-19.0,-19.0,-19.0,Norman Wells,,,,CA,951.0,0.0035,1544639562,1544652580,1.0,2816.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",280.0,,8.7
249,stations,20,200,-11.38,43.28,1544594400,921786,,66,1015.0,,30.0,30.0,30.0,Mitsamiouli,,,,KM,2129.0,0.0029,1544582227,1544628251,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",280.0,,2.1
250,stations,0,200,7.53,-12.5,1544595281,2409914,1022.56,98,1022.56,1025.3,24.5,24.5,24.5,Bonthe,,,,SL,,0.0095,1544597579,1544639680,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",348.0,,0.71
251,stations,68,200,68.05,39.51,1544595281,556268,1009.43,94,1009.43,1036.2,-4.3,-4.3,-4.3,Ostrovnoy,,,,RU,,0.0034,0,0,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",291.0,,4.76
252,stations,80,200,4.77,7.02,1544595281,2324774,995.97,88,995.97,1026.76,24.1,24.1,24.1,Port Harcourt,,,,NG,,0.0038,1544592608,1544635279,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",223.5,,2.11
253,stations,0,200,18.9,-3.53,1544595281,2460954,997.03,47,997.03,1032.39,8.2,8.2,8.2,Araouane,,,,ML,,0.0037,1544596653,1544636297,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",84.0002,,1.36
254,stations,92,200,58.48,43.41,1544595282,512576,1013.56,95,1013.56,1033.2,-1.95,-1.95,-1.95,Parfenyevo,,,,RU,,0.0044,1544593605,1544616797,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",172.0,,3.21
255,stations,75,200,5.28,115.24,1544592600,1733782,,79,1009.0,,31.5,32.0,31.0,Victoria,,,,BN,9372.0,0.0036,1544566678,1544609245,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,1.5
256,stations,12,200,69.22,-51.1,1544593800,3423146,,92,985.0,,-11.0,-11.0,-11.0,Ilulissat,,,,GL,165.0,0.0033,0,0,1.0,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",140.0,,3.6
257,stations,0,200,38.18,-1.13,1544592600,2517679,,62,1019.0,,13.0,13.0,13.0,Fortuna,,,,ES,6391.0,0.0031,1544598704,1544633090,1.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",270.0,,3.1
258,stations,76,200,-14.47,132.26,1544592600,2068655,,47,1002.0,,37.0,37.0,37.0,Katherine,,,,AU,9589.0,0.0032,1544560529,1544607226,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.0,,4.6
259,stations,20,200,-4.94,122.53,1544595283,1640972,1016.89,74,1016.89,1020.35,32.25,32.25,32.25,Katobu,,,,ID,,0.0031,1544563881,1544608545,,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",285.5,,1.41
260,stations,90,200,51.59,-3.0,1544593800,2641598,,100,1018.0,,7.85,9.0,6.0,Newport,,,,GB,1398.0,0.0803,1544602142,1544630546,1.0,10000.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",120.0,,4.6
261,stations,76,200,-8.93,125.41,1544595284,1651810,943.53,84,943.53,1019.7,26.28,26.28,26.28,Airai,,2.74,,TL,,0.0037,1544562772,1544608271,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",281.0,,1.01
262,stations,0,200,-45.58,-72.07,1544594400,3894426,,57,1016.0,,7.63,9.0,7.0,Coihaique,,,,CL,8491.0,0.0175,1544604783,1544661094,1.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2.1
263,stations,80,200,-22.12,14.28,1544595285,3356832,1015.83,100,1015.83,1029.39,14.43,14.43,14.43,Henties Bay,,,,NA,,0.0029,1544587960,1544636446,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",175.0,,1.81
264,stations,64,200,-28.95,153.24,1544590800,2160063,,54,1010.0,,27.31,29.0,26.0,Codrington,,,,AU,9537.0,0.004,1544553707,1544603979,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",50.0,,6.7
265,stations,20,200,70.47,-68.59,1544590800,5924351,,71,989.0,,-16.0,-16.0,-16.0,Clyde River,,,,CA,776.0,0.0039,0,0,1.0,14484.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,1.5
266,stations,75,200,1.75,40.07,1544590800,178443,,78,1014.0,,27.0,27.0,27.0,Wajir,,,,KE,2571.0,0.0033,1544584364,1544627654,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",110.0,,5.7
267,stations,20,200,-17.73,-149.15,1544594400,4033557,,74,1013.0,,27.0,27.0,27.0,Tautira,,,,PF,7318.0,0.0038,1544627716,1544675161,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",110.0,,1.5
268,stations,48,200,-3.31,129.0,1544595286,1651591,1019.56,98,1019.56,1020.19,30.4,30.4,30.4,Amahai,,,,ID,,0.0034,1544562495,1544606823,,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",281.5,,3.46
269,stations,1,200,46.88,-102.79,1544594160,5688789,,84,1005.0,,-6.1,-6.1,-6.1,Dickinson,,,,US,3815.0,0.0036,1544624855,1544655750,1.0,16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",190.0,,4.6
